,rule,"((0,), (1,), (2,))","((0,), (1,))","((0,), (2,))","((0,), (1, 2))","((0,),)","((1,), (2,))","((1,), (0, 2))","((2,), (0, 1))","((0, 1), (0, 2), (1, 2))","((0, 1), (0, 2))","((1,),)","((0, 1), (1, 2))","((0, 1),)","((2,),)","((0, 2), (1, 2))","((0, 2),)","((1, 2),)","((0, 1, 2),)"
38,38,0.04879494069539851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15563906222956647,-2.7755575615628914e-17,0.0,-2.7755575615628914e-17,2.7755575615628914e-17,0.0,-2.7755575615628914e-17,2.7755575615628914e-17,0.5,0.25
39,39,0.0,0.18872187554086717,0.0,0.0,0.0,0.0,0.0,0.0,0.31127812445913283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
40,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3112781244591328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994
41,41,0.04879494069539851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15563906222956647,-2.7755575615628914e-17,0.0,-2.7755575615628914e-17,2.7755575615628914e-17,0.0,-2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,0.75
42,42,0.04879494069539851,0.0,0.0,0.0,0.0,0.0,0.0,0.15563906222956647,-2.7755575615628914e-17,2.7755575615628914e-17,0.0,2.7755575615628914e-17,-2.7755575615628914e-17,0.3443609377704336,0.15563906222956647,0.0,-1.1102230246251565e-16,0.2500000000000001
43,43,0.18872187554086717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31127812445913283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
44,44,0.04879494069539851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15563906222956642,2.7755575615628914e-17,0.0,0.0,0.5,0.0,0.0,2.7755575615628914e-17,0.0,0.25
45,45,0.0,0.0,0.0,0.0,0.18872187554086717,0.0,0.0,0.0,0.0,0.31127812445913283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
46,46,0.0,0.0,0.18872187554086717,0.0,0.0,0.0,0.0,0.0,0.31127812445913283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
47,47,0.04879494069539851,0.0,0.0,0.15563906222956642,0.34436093777043364,0.0,0.0,0.0,0.0,0.15563906222956636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
48,48,0.0,0.3112781244591328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,0.0,0.0,0.0,0.0,0.0
49,49,0.04879494069539851,0.0,0.0,0.0,0.0,0.0,0.15563906222956642,0.0,0.0,0.0,0.34436093777043364,0.15563906222956636,0.0,0.0,0.0,0.0,0.0,0.25
50,50,0.04879494069539851,0.0,0.0,0.0,0.0,0.0,0.15563906222956642,0.0,0.0,0.0,0.34436093777043364,0.15563906222956636,0.0,0.0,0.0,0.0,0.0,0.25
51,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,52,0.04879494069539851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15563906222956642,0.0,0.0,2.7755575615628914e-17,0.5,0.0,0.0,0.0,2.7755575615628914e-17,0.25
53,53,0.0,0.0,0.0,0.0,0.0,0.18872187554086717,0.0,0.0,0.31127812445913283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
54,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18872187554086717,0.31127812445913283,0.0,0.0,0.0,0.0,0.0,0.5
55,55,0.04879494069539851,0.0,0.0,0.0,0.0,0.0,0.15563906222956642,0.0,0.0,0.0,0.34436093777043364,0.15563906222956636,0.0,0.0,0.0,0.0,0.0,0.25
56,56,0.04879494069539851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15563906222956642,0.0,0.0,2.7755575615628914e-17,0.5,0.0,0.0,0.0,2.7755575615628914e-17,0.25
57,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18872187554086717,0.31127812445913283,0.0,0.0,0.0,0.0,0.0,0.5
58,58,0.0,0.0,0.0,0.0,0.0,0.18872187554086717,0.0,0.0,0.31127812445913283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
59,59,0.04879494069539851,0.0,0.0,0.0,0.0,0.0,0.15563906222956642,0.0,0.0,0.0,0.34436093777043364,0.15563906222956636,0.0,0.0,0.0,0.0,0.0,0.25
60,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
61,61,0.04879494069539851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15563906222956642,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.25
62,62,0.04879494069539851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15563906222956642,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.25
63,63,0.0,0.3112781244591328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,0.0,0.0,0.0,0.0,0.0
64,64,0.1379253809700299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15563906222956644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24999999999999994
65,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3112781244591328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994
66,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3112781244591328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994
67,67,0.04879494069539851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15563906222956647,-2.7755575615628914e-17,0.0,-2.7755575615628914e-17,0.5,0.0,-2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,0.25
68,68,0.0,0.0,0.0,0.0,0.0,0.3112781244591328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,0.0
69,69,0.04879494069539851,0.0,0.0,0.0,0.0,0.0,0.0,0.15563906222956647,-2.7755575615628914e-17,2.7755575615628914e-17,0.0,2.7755575615628914e-17,-2.7755575615628914e-17,0.3443609377704336,0.15563906222956647,0.0,-1.1102230246251565e-16,0.2500000000000001
70,70,0.04879494069539851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15563906222956647,-2.7755575615628914e-17,0.0,-2.7755575615628914e-17,2.7755575615628914e-17,0.0,-2.7755575615628914e-17,2.7755575615628914e-17,0.5,0.25
71,71,0.0,0.0,0.18872187554086717,0.0,0.0,0.0,0.0,0.0,0.31127812445913283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
